implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
blaze,bcc61aee,jsck-medium-invalid,1379458,684209,27917583,596542,41528,0
blaze,bcc61aee,jsck-medium-valid,3550125,3276833,22269541,588042,33256,0
blaze,bcc61aee,jsconfig-rmUniqueItems,227750,146167,1723750,10380583,10264,0
blaze,bcc61aee,jsconfig-rmUniqueItems-invalid,152000,97250,1911625,10115333,10636,0
blaze,bcc61aee,jshintrc,588708,464875,2540166,2030500,9060,0
blaze,bcc61aee,jshintrc-invalid,245834,163334,2782791,2052459,9556,0
blaze,bcc61aee,katydid-conf-invalid,676125,543333,18362417,503458,26272,0
blaze,bcc61aee,katydid-conf-valid,923041,821083,20765958,525792,28548,0
blaze,bcc61aee,lazygit-rmUniqueItems,117708,50667,809542,17680958,11876,0
blaze,bcc61aee,lazygit-rmUniqueItems-invalid,57959,13709,1047833,17818667,11756,0
blaze,bcc61aee,lerna,138084,61000,1701042,1134834,6508,0
blaze,bcc61aee,lerna-invalid,85875,34334,1835917,965708,6668,0
blaze,bcc61aee,nest-cli,117000,96958,1567083,3839667,8028,0
blaze,bcc61aee,nest-cli-invalid,86166,41083,2014709,3841375,8332,0
blaze,bcc61aee,omnisharp,377584,260042,2289208,3397458,9412,0
blaze,bcc61aee,omnisharp-invalid,204375,116083,2588666,3417625,9952,0
blaze,bcc61aee,pre-commit-hooks,364666,220500,2652167,2576583,9072,0
blaze,bcc61aee,pre-commit-hooks-invalid,158417,74333,3134583,2581667,9616,0
blaze,bcc61aee,pulumi,375167,330583,5587208,2136916,12176,0
blaze,bcc61aee,pulumi-invalid,228042,113334,5933000,2078750,12840,0
blaze,bcc61aee,semantic-release,81958,43500,2567708,914500,7532,0
blaze,bcc61aee,semantic-release-invalid,68334,34666,2874292,906625,7832,0
blaze,bcc61aee,stale,98917,73583,1322625,914250,7324,0
blaze,bcc61aee,stale-invalid,65958,33708,2110208,927292,7640,0
blaze,bcc61aee,stylecop-rmUniqueItems,178541,103208,1958584,3084917,9276,0
blaze,bcc61aee,stylecop-rmUniqueItems-invalid,100500,49292,2148750,3121542,9504,0
blaze,bcc61aee,tmuxinator,75500,45334,1807583,1153583,6816,0
blaze,bcc61aee,tmuxinator-invalid,30167,10833,1824250,1177125,6860,0
blaze,bcc61aee,ui5,327667,225542,2562708,26829333,18796,0
blaze,bcc61aee,ui5-invalid,237541,146583,3057042,26468917,18540,0
blaze,bcc61aee,unreal-engine-uproject-rmUniqueItems,172125,125708,2520000,2315458,8884,0
blaze,bcc61aee,unreal-engine-uproject-rmUniqueItems-invalid,100958,76125,2843583,2231291,8908,0
blaze,bcc61aee,vercel,200500,110500,1639375,6962083,10308,0
blaze,bcc61aee,vercel-invalid,118958,50500,2274458,6900916,10500,0
blaze,bcc61aee,yamllint,16250,5166,2449292,336917,7364,0
blaze,bcc61aee,yamllint-invalid,21417,7334,2727875,376334,7704,0
blaze,bcc61aee,zschema-advanced-rmUniqueItems-invalid,2511042,1322167,34833625,1435625,48064,0
blaze,bcc61aee,zschema-advanced-rmUniqueItems-valid,3294500,2978166,22049958,1083500,31732,0
blaze,bcc61aee,zschema-basic-rmUniqueItems-invalid,80375,26542,3109500,372416,8640,0
blaze,bcc61aee,zschema-basic-rmUniqueItems-valid,136417,53334,2930959,375625,8504,0
boon,0.6,ajv-cosmicrealms-rmUniqueItems-invalid,17885541,16494292,35780417,3396250,48348,0
boon,0.6,ajv-cosmicrealms-rmUniqueItems-valid,15843375,15000125,30148792,4667167,40988,0
boon,0.6,ansible-meta,10664417,7672125,836833,13878625,4644,0
boon,0.6,ansible-meta-invalid,8845333,6674667,824583,14404750,4636,0
boon,0.6,aws-cdk,162250,163916,2483792,3121667,5776,0
boon,0.6,aws-cdk-invalid,199333,173416,1073292,4620375,3728,0
boon,0.6,babelrc,359875,301167,1109458,5784375,4444,0
boon,0.6,babelrc-invalid,599208,549792,1314416,5934166,4692,0
boon,0.6,clang-format,122083,86417,251792,17825375,3520,0
boon,0.6,clang-format-invalid,127250,110375,306417,17845083,3520,0
boon,0.6,cmake-presets,97282666,94763834,12930417,29769000,27976,0
boon,0.6,cmake-presets-invalid,115527500,114760541,12321584,30961416,28220,0
boon,0.6,code-climate,797666,457625,7552667,5637542,17084,0
boon,0.6,code-climate-invalid,3259292,2110333,8565458,5821458,19516,0
boon,0.6,cypress,426791,397334,2976167,7931500,8140,0
boon,0.6,cypress-invalid,653750,567292,1065833,7965042,4172,0
boon,0.6,deno-rmUniqueItems,674375,486542,4751167,9134000,9976,0
boon,0.6,deno-rmUniqueItems-invalid,803167,684542,2396416,9596208,6524,0
boon,0.6,dependabot,1020750,923542,3070167,6424791,8372,0
boon,0.6,dependabot-invalid,1263166,1110792,3110083,6289125,8500,0
boon,0.6,draft-04-rmUniqueItems,12429667,11377583,33364542,5827542,59056,0
boon,0.6,draft-04-rmUniqueItems-invalid,12895750,10900375,29779167,5425500,55184,0
boon,0.6,example-address-invalid,4889000,4762792,8602125,3216917,12300,0
boon,0.6,example-address-valid,4176333,3553167,8882708,5063041,12560,0
boon,0.6,example-blogpost-invalid,9147375,8690541,24130750,4789875,33300,0
boon,0.6,example-blogpost-valid,8201417,7868500,18698000,3840000,25092,0
boon,0.6,example-calendar-invalid,6844042,6526708,25329333,4595208,33936,0
boon,0.6,example-calendar-valid,5721125,5515166,15467041,4554250,20112,0
boon,0.6,example-devicetype-invalid,11621750,11105708,15885917,5082958,22680,0
boon,0.6,example-devicetype-valid,8190833,7092542,6636250,4811667,11416,0
boon,0.6,example-health-record-invalid,22205834,20671833,32980375,4648458,40088,0
boon,0.6,example-health-record-valid,9096625,8547833,23411334,4787458,27928,0
boon,0.6,example-job-posting-invalid,4759916,4793708,15994958,4800500,21648,0
boon,0.6,example-job-posting-valid,4066791,3581958,9387708,4574542,12428,0
boon,0.6,example-movie-invalid,5407458,5157750,20251542,4989625,26504,0
boon,0.6,example-movie-valid,4123708,3833958,10720541,4856208,14348,0
boon,0.6,example-userprofile-invalid,5281541,4997625,19050000,4742750,24848,0
boon,0.6,example-userprofile-valid,4055000,3824125,10675125,4664583,14092,0
boon,0.6,fabric-mod,1935750,1707750,3458917,6896041,8144,0
boon,0.6,fabric-mod-invalid,2524000,2121166,3453709,7260500,8400,0
boon,0.6,geojson,485879084,488594626,149309417,16803500,274108,0
boon,0.6,geojson-invalid,518474250,519768667,150741959,16769166,328140,0
boon,0.6,gitpod-configuration,579625,510417,2090334,7235083,6476,0
boon,0.6,gitpod-configuration-invalid,799167,644542,2372917,7648167,6628,0
boon,0.6,importmap,444417,393792,2058000,4571708,5260,0
boon,0.6,importmap-invalid,1010625,535375,2277666,4698833,5516,0
boon,0.6,jasmine,505750,461208,864417,5012125,3864,0
boon,0.6,jasmine-invalid,4615833,3206875,1017875,4756209,3992,0
boon,0.6,jsck-complex-invalid,11129084,10793459,10641250,5247375,22020,0
boon,0.6,jsck-complex-valid,10891959,10386958,13147833,6734083,25012,0
boon,0.6,jsck-medium-invalid,11452417,9627708,29472291,4776000,54552,0
boon,0.6,jsck-medium-valid,11099750,8950709,26421792,4918458,52248,0
boon,0.6,jsconfig-rmUniqueItems,1374125,1078875,1624542,20627042,6324,0
boon,0.6,jsconfig-rmUniqueItems-invalid,1636625,1406458,1525375,21340375,6452,0
boon,0.6,jshintrc,779375,697916,2701792,7185625,5964,0
boon,0.6,jshintrc-invalid,946584,833583,2903084,7139750,6732,0
boon,0.6,katydid-conf-invalid,11523375,10400959,19419959,4803708,32404,0
boon,0.6,katydid-conf-valid,8732042,9496042,20851500,4562083,35604,0
boon,0.6,lazygit-rmUniqueItems,343250,253291,542000,26542084,4356,0
boon,0.6,lazygit-rmUniqueItems-invalid,419333,374000,622333,26472666,4612,0
boon,0.6,lerna,331750,309000,1264500,5835541,4388,0
